,query,No,token,pos
728,전주여행,15,는,JX
729,전주여행,15,한옥마을,NNP
730,전주여행,15,로,JKB
731,전주여행,15,유명,XR
732,전주여행,15,한,XSA+ETM
733,전주여행,15,완산구,NNP
734,전주여행,15,가,JKS
735,전주여행,15,있,VA
736,전주여행,15,으며,EC
737,전주여행,15,덕진구,NNP
738,전주여행,15,또한,MAJ
739,전주여행,15,멋진,VA+ETM
740,전주여행,15,추억,NNG
741,전주여행,15,을,JKO
742,전주여행,15,가진,VV+ETM
743,전주여행,15,장소,NNG
744,전주여행,15,가,JKS
745,전주여행,15,많이,MAG
746,전주여행,15,있,VA
747,전주여행,15,습니다,EF
748,전주여행,15,완산구,NNP
749,전주여행,15,덕진구,NNP
750,전주여행,15,에,JKB
751,전주여행,15,대해서,VV+EC
752,전주여행,15,여행지,NNG
753,전주여행,15,를,JKO
754,전주여행,16,뚜벅,MAG
755,전주여행,16,이,MM
756,전주여행,16,5,SN
757,전주여행,16,월,NNBC
758,전주여행,16,달,NNG
759,전주여행,16,에,JKB
760,전주여행,16,엄마,NNG
761,전주여행,16,랑,JC
762,전주여행,16,전,NP+JX
763,전주여행,16,주로,MAG
764,전주여행,16,뚜벅,MAG
765,전주여행,16,이,MM
766,전주여행,16,계획,NNG
767,전주여행,16,중,NNB
768,전주여행,16,인데,VCP+EC
769,전주여행,16,답변,NNG
770,전주여행,16,부탁,NNG
771,전주여행,16,드려요,VV+EC
772,전주여행,16,1,SN
773,전주여행,16,기차,NNG
774,전주여행,16,랑,JKB
775,전주여행,16,고속버스,NNG
776,전주여행,16,중,NNB
777,전주여행,16,에,JKB
778,전주여행,16,어떤,MM
779,전주여행,16,걸,NNB+JKO
780,전주여행,16,타,VV
781,전주여행,16,는,ETM
782,전주여행,16,게,NNB+JKS
783,전주여행,16,좋,VA
784,전주여행,16,을까요,EC
785,전주여행,16,2,SN
786,전주여행,16,에,JKB
787,전주여행,16,도착,NNG
788,전주여행,16,해서,XSV+EC
789,전주여행,16,관광,NNG
790,전주여행,16,할,XSV+ETM
791,전주여행,16,때,NNG
792,전주여행,16,이용,NNG
793,전주여행,16,할,XSV+ETM
794,전주여행,16,수,NNB
795,전주여행,16,있,VV
796,전주여행,16,는,ETM
797,전주여행,16,교통수단,NNG
798,전주여행,16,은,JX
799,전주여행,16,어떤,MM
800,전주여행,16,게,NNB+JKS
801,전주여행,16,있,VA
802,전주여행,16,을까요,EC
803,전주여행,16,3,SN
804,전주여행,16,숙소,NNG
805,전주여행,16,추천,NNG
806,전주여행,16,도,JX
807,전주여행,16,부탁드려요,VV+EF
808,전주여행,16,서울,NNP
809,전주여행,17,당일치기,NNG
810,전주여행,17,요,JX
811,전주여행,17,어렵,VA
812,전주여행,17,네요,EF
813,전주여행,17,당일치기,NNG
814,전주여행,17,을,JKO
815,전주여행,17,계획,NNG
816,전주여행,17,중,NNB
817,전주여행,17,이,VCP
818,전주여행,17,시,EP
819,전주여행,17,군요,EF
820,전주여행,17,전,MM
821,전주여행,17,주역,NNP
822,전주여행,17,에서,JKB
823,전주여행,17,한옥마을,NNP
824,전주여행,17,까지,JX
825,전주여행,17,가,VV
826,전주여행,17,는,ETM
827,전주여행,17,방법,NNG
828,전주여행,17,과,JC
829,전주여행,17,당일치기,NNG
830,전주여행,17,코스,NNG
831,전주여행,17,를,JKO
832,전주여행,17,알려,VV+EC
833,전주여행,17,드릴게요,VX+EF
834,전주여행,17,전,MM
835,전주여행,17,주역,NNP
836,전주여행,17,에서,JKB
837,전주여행,17,한옥마을,NNP
838,전주여행,17,까지,JX
839,전주여행,17,가,VV
840,전주여행,17,는,ETM
841,전주여행,17,방법,NNG
842,전주여행,17,으로,JKB
843,전주여행,17,는,JX
844,전주여행,17,택시,NNG
845,전주여행,17,와,JC
846,전주여행,17,버스,NNG
847,전주여행,17,가,JKS
848,전주여행,17,있,VA
849,전주여행,17,어요,EF
850,전주여행,17,전,MM
851,전주여행,17,주역,NNP
852,전주여행,17,에서,JKB
853,전주여행,17,한옥마을,NNP
854,전주여행,17,까지,JX
855,전주여행,17,택시,NNG
856,전주여행,17,를,JKO
857,전주여행,18,2,SN
858,전주여행,18,박,NNBC
859,전주여행,18,3,SN
860,전주여행,18,일,NNBC
861,전주여행,18,경비,NNG
862,전주여행,18,보통,NNG
863,전주여행,18,2,SN
864,전주여행,18,박,NNBC
865,전주여행,18,3,SN
866,전주여행,18,일,NNBC
867,전주여행,18,경비,NNG
868,전주여행,18,가,JKS
869,전주여행,18,얼마,NNG
870,전주여행,18,정도,NNG
871,전주여행,18,드나,VV
872,전주여행,18,요,EC
873,전주여행,18,숙소,NNG
874,전주여행,18,는,JX
875,전주여행,18,1,SN
876,전주여행,18,박,NNBC
877,전주여행,18,에,JKB
878,전주여행,18,13,SN
879,전주여행,18,만,NR
880,전주여행,18,원,NNBC
