,query,token,pos
1861,전주여행,여수,NNG
1862,전주여행,여수,NNG
1868,전주여행,제주,NNP
1870,전주여행,제주도,NNP
1875,전주여행,곳,NNG
1876,전주여행,전문,NNG
1878,전주여행,플,NNG
1880,전주여행,언서,NNG
1881,전주여행,전,NNG
1882,전주여행,주달,NNG
1883,전주여행,봉이,NNG
1885,전주여행,한옥마을,NNP
1887,전주여행,입장료,NNG
1892,전주여행,기본,NNG
1893,전주여행,친구,NNG
1895,전주여행,친구,NNG
1907,전주여행,곳,NNG
1908,전주여행,호텔,NNG
1909,전주여행,맛집,NNG
1910,전주여행,추천,NNG
1914,전주여행,호텔,NNG
1916,전주여행,시설,NNG
1925,전주여행,한옥,NNP
1930,전주여행,침대,NNG
1934,전주여행,곳,NNG
1941,전주여행,맛집,NNG
1943,전주여행,양식,NNG
1944,전주여행,중식,NNG
1945,전주여행,일식,NNG
1948,전주여행,비용,NNG
1951,전주여행,인당,NNG
1956,전주여행,크리스마스,NNG
1957,전주여행,맛집,NNG
1958,전주여행,국내,NNG
1959,전주여행,전,NNG
1960,전주여행,주달,NNG
1961,전주여행,봉,NNG
1963,전주여행,달,NNG
1964,전주여행,봉,NNG
1965,전주여행,티비,NNG
1966,전주여행,코스,NNG
1971,전주여행,곳,NNG
1972,전주여행,여수,NNG
1973,전주여행,여수,NNG
1979,전주여행,제주,NNP
1981,전주여행,제주도,NNP
1986,전주여행,곳,NNG
1987,전주여행,전문,NNG
1989,전주여행,플,NNG
1991,전주여행,언서,NNG
1992,전주여행,전,NNG
1993,전주여행,주달,NNG
1994,전주여행,봉이,NNG
1996,전주여행,코스,NNG
1998,전주여행,한옥,NNG
1999,전주여행,마을,NNG
2001,전주여행,시작,NNG
2008,전주여행,질문,NNG
2011,전주여행,일정,NNG
2012,전주여행,관련,NNG
2013,전주여행,답변,NNG
2019,전주여행,가실,NNG
2020,전주여행,때,NNG
2021,전주여행,계획,NNG
2039,전주여행,준비,NNG
